Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH_Value,Rainfall,Crop
33.0,10.0,36.0,29.339068,63.624455,5.157781,1085.655257,Cassava
38.0,18.0,38.0,26.3492,59.114855,4.831606,1024.015126,Cassava
26.0,11.0,26.0,29.850301,81.253076,5.11591,946.740839,Cassava
29.0,18.0,32.0,32.485121,67.746845,5.83016,951.565391,Cassava
21.0,20.0,15.0,28.217224,62.601921,5.34845,1044.104411,Cassava
20.0,12.0,25.0,29.54445,68.997859,4.869591,952.183541,Cassava
37.0,19.0,31.0,30.294374,66.713704,5.480486,921.687759,Cassava
41.0,17.0,24.0,27.456827,65.953213,4.83677,1069.157441,Cassava
29.0,18.0,44.0,29.08264,71.799167,4.18475,1004.104101,Cassava
38.0,23.0,22.0,28.53274,72.802554,4.596765,1320.718738,Cassava
33.0,14.0,29.0,28.753958,63.786492,4.251683,600.0,Cassava
25.0,12.0,33.0,26.490175,63.469272,4.859395,1246.471233,Cassava
33.0,11.0,43.0,28.563726,65.574638,5.007367,1274.295335,Cassava
42.0,12.0,22.0,29.794796,51.386552,5.670575,676.789758,Cassava
30.0,15.0,41.0,32.272973,56.893663,5.130771,988.316233,Cassava
43.0,16.0,33.0,30.994104,77.06812,4.91236,983.140644,Cassava
10.0,16.0,26.0,34.098274,79.014774,5.331762,796.647895,Cassava
37.0,18.0,36.0,26.504896,65.756748,4.115546,909.992996,Cassava
31.0,15.0,34.0,30.768034,71.535899,5.094246,850.096348,Cassava
28.0,21.0,28.0,28.976689,69.678751,5.308346,1365.40868,Cassava
31.0,14.0,33.0,34.193488,85.0,4.408566,1218.422111,Cassava
14.0,25.0,30.0,26.398424,75.337024,5.457502,1278.879917,Cassava
28.0,18.0,33.0,26.316723,66.604577,5.135399,1179.900972,Cassava
33.0,12.0,37.0,26.941579,60.811217,4.833885,846.770681,Cassava
42.0,11.0,44.0,22.977871,56.254876,5.253113,955.586352,Cassava
26.0,17.0,24.0,27.133037,68.924245,5.908277,1138.087421,Cassava
24.0,14.0,47.0,26.526255,62.205545,5.072747,830.016994,Cassava
26.0,18.0,19.0,28.891024,57.544224,5.099288,1178.339717,Cassava
37.0,17.0,31.0,29.388566,62.97399,4.816256,1006.741428,Cassava
33.0,15.0,37.0,33.378044,59.929164,4.660062,982.532255,Cassava
26.0,12.0,34.0,30.971102,79.309991,5.332134,1177.972794,Cassava
34.0,9.0,28.0,27.00005,73.671478,4.657566,1129.967396,Cassava
31.0,13.0,31.0,26.164122,67.444192,5.028626,985.02609,Cassava
38.0,18.0,29.0,29.77899,77.859609,4.808937,1258.679365,Cassava
24.0,16.0,28.0,25.067394,68.041578,5.191592,855.408601,Cassava
27.0,10.0,38.0,33.261793,61.471011,5.133465,1160.868409,Cassava
27.0,16.0,35.0,31.566544,78.161869,5.415016,1156.758226,Cassava
18.0,17.0,28.0,27.280143,71.27237,4.795993,994.281641,Cassava
32.0,11.0,39.0,24.04585,60.239277,4.89205,1108.703944,Cassava
32.0,16.0,35.0,32.020068,66.167629,4.608495,824.799556,Cassava
30.0,15.0,38.0,28.202196,61.370672,4.822283,1216.324863,Cassava
28.0,10.0,37.0,31.718322,57.820402,5.15092,1016.717615,Cassava
43.0,32.0,67.0,25.798711,75.988061,5.945081,719.829146,SweetPotato
57.0,25.0,58.0,24.849267,55.0,5.745414,919.045082,SweetPotato
41.0,28.0,63.0,23.119261,82.530248,5.944027,779.004829,SweetPotato
35.0,25.0,77.0,21.706126,69.162462,6.095587,709.310581,SweetPotato
33.0,25.0,65.0,24.396447,76.649097,5.91759,864.381181,SweetPotato
53.0,26.0,63.0,23.786971,63.760564,5.914613,692.183842,SweetPotato
36.0,29.0,48.0,24.790386,73.676643,5.647283,803.381739,SweetPotato
63.0,25.0,71.0,24.270344,63.679507,5.661356,798.90572,SweetPotato
29.0,34.0,70.0,25.099105,66.257386,5.395062,930.307468,SweetPotato
63.0,23.0,86.0,21.92953,81.484188,6.529848,856.963788,SweetPotato
49.0,27.0,59.0,25.634788,68.855906,5.452209,796.996765,SweetPotato
47.0,25.0,65.0,23.395199,71.304597,5.650554,898.131956,SweetPotato
43.0,35.0,65.0,27.150522,75.220406,5.641373,966.824906,SweetPotato
51.0,28.0,80.0,21.621624,72.974091,6.222173,866.937237,SweetPotato
47.0,33.0,61.0,26.471928,70.902513,5.793818,801.242314,SweetPotato
57.0,20.0,66.0,23.395822,72.189766,6.349187,642.579652,SweetPotato
49.0,29.0,69.0,21.697164,84.420494,5.657543,672.18636,SweetPotato
49.0,32.0,65.0,22.032228,69.654287,6.000438,763.373035,SweetPotato
44.0,28.0,58.0,22.359305,71.206594,5.599275,726.858536,SweetPotato
47.0,33.0,65.0,23.848332,76.303926,6.672254,777.563444,SweetPotato
50.0,25.0,74.0,24.045671,76.633156,5.472465,806.797991,SweetPotato
32.0,35.0,51.0,21.8526,77.122182,6.011535,863.563131,SweetPotato
35.0,39.0,64.0,22.951291,73.832381,6.12816,791.540147,SweetPotato
54.0,26.0,55.0,27.284541,63.141971,6.048968,858.380197,SweetPotato
49.0,25.0,76.0,26.455086,79.800589,5.833296,807.73693,SweetPotato
46.0,35.0,46.0,23.872647,63.121928,5.853265,562.944012,SweetPotato
48.0,35.0,56.0,23.076007,71.815813,5.915772,687.279753,SweetPotato
51.0,25.0,67.0,23.240063,65.474345,5.847079,782.709493,SweetPotato
43.0,25.0,80.0,24.227036,69.61517,6.246996,654.836631,SweetPotato
40.0,26.0,62.0,20.954415,71.972574,6.695788,871.991448,SweetPotato
49.0,21.0,56.0,22.485247,71.928143,5.699303,983.6901,SweetPotato
39.0,23.0,83.0,19.662832,72.531525,5.406871,946.251422,SweetPotato
51.0,22.0,47.0,23.798446,79.682268,5.868218,774.386855,SweetPotato
32.0,24.0,38.0,24.294392,72.721206,6.8,978.887136,SweetPotato
57.0,27.0,67.0,22.033627,68.53506,5.610677,817.840095,SweetPotato
52.0,29.0,57.0,26.147974,75.784523,6.490082,759.549683,SweetPotato
50.0,35.0,51.0,20.548469,77.136823,6.503972,726.39168,SweetPotato
56.0,23.0,70.0,20.07125,62.634353,5.700708,763.703638,SweetPotato
62.0,32.0,65.0,23.448904,73.5844,6.104834,753.418782,SweetPotato
57.0,26.0,56.0,25.094197,74.207036,6.486223,820.449947,SweetPotato
31.0,27.0,48.0,26.367855,68.214619,5.763514,819.268878,SweetPotato
36.0,31.0,72.0,22.082231,78.254241,5.826711,800.365522,SweetPotato
42.0,22.0,70.0,25.157362,69.099666,5.690595,852.43258,SweetPotato
48.0,29.0,61.0,22.922983,70.753459,5.534688,942.877553,SweetPotato
52.0,28.0,83.0,22.654745,68.961569,5.66626,913.946496,SweetPotato
41.0,30.0,51.0,24.76732,70.093474,5.459382,621.812244,SweetPotato
49.0,29.0,46.0,24.304646,63.422349,5.91227,500.0,SweetPotato
41.0,40.0,55.0,19.847216,61.359695,5.62281,912.118389,SweetPotato
42.0,24.0,62.0,25.953081,79.56703,5.984163,635.974556,SweetPotato
35.0,25.0,65.0,25.760183,64.918232,5.339878,773.028152,SweetPotato
39.0,24.0,60.0,21.748875,64.051646,6.019117,659.586437,SweetPotato
35.0,25.0,66.0,23.791607,57.079659,6.20007,583.762347,SweetPotato
39.0,24.0,49.0,23.98806,66.16623,5.182255,864.975527,SweetPotato
57.0,33.0,78.0,23.521348,62.061461,6.03466,891.098619,SweetPotato
39.0,35.0,62.0,21.89939,79.852091,6.341961,730.818752,SweetPotato
70.0,25.0,75.0,21.656753,76.058903,5.464529,500.0,SweetPotato
52.0,23.0,66.0,22.948892,65.871098,6.502126,734.450666,SweetPotato
49.0,30.0,68.0,25.345458,83.514615,6.050847,847.016481,SweetPotato
40.0,25.0,69.0,24.0872,75.890593,5.646196,622.530612,SweetPotato
54.0,31.0,67.0,22.258771,68.051012,5.879923,822.00319,SweetPotato
42.0,29.0,70.0,24.543397,55.003566,6.100998,798.162818,SweetPotato
49.0,20.0,77.0,18.0,83.745655,5.927362,869.51498,SweetPotato
70.0,35.0,65.0,25.297531,61.662565,6.093952,814.349644,SweetPotato
47.0,36.0,70.0,19.520572,60.127608,5.568558,683.231727,SweetPotato
58.0,24.0,62.0,22.275118,76.135423,5.96097,943.58858,SweetPotato
41.0,26.0,78.0,20.76066,84.638514,5.391063,780.976451,SweetPotato
47.0,29.0,55.0,20.410637,78.305637,5.859959,796.723455,SweetPotato
63.0,29.0,82.0,25.321654,73.383455,5.574593,688.007845,SweetPotato
42.0,31.0,62.0,22.064598,73.568526,5.635209,746.80613,SweetPotato
64.0,38.0,47.0,23.693008,75.120493,6.344994,693.823674,SweetPotato
54.0,27.0,64.0,22.906159,74.553572,6.292872,779.246473,SweetPotato
42.0,24.0,55.0,23.954082,71.687149,6.11929,1005.405018,SweetPotato
53.0,21.0,72.0,23.153644,70.625207,5.506767,635.371863,SweetPotato
56.0,24.0,55.0,20.434016,69.624441,5.786093,606.372632,SweetPotato
53.0,27.0,58.0,24.992534,65.476212,6.336715,976.540439,SweetPotato
33.0,36.0,42.0,22.012487,68.31595,5.951018,774.881159,SweetPotato
41.0,25.0,58.0,19.886836,59.842259,6.734959,719.711271,SweetPotato
45.0,29.0,36.0,22.14377,69.409962,6.041594,924.788562,SweetPotato
47.0,27.0,45.0,26.00152,64.068453,5.969138,727.326135,SweetPotato
53.0,33.0,71.0,24.700443,63.378464,5.788718,1019.121166,SweetPotato
49.0,40.0,71.0,22.302696,71.079365,5.948075,881.351105,SweetPotato
35.0,25.0,67.0,22.301485,78.352014,5.845111,741.450631,SweetPotato
51.0,25.0,52.0,22.35673,75.5099,6.154919,1058.876986,SweetPotato
53.0,33.0,62.0,27.153496,60.576996,6.244413,727.314209,SweetPotato
53.0,31.0,62.0,23.763871,64.062231,5.617044,889.051445,SweetPotato
57.0,37.0,50.0,23.860083,75.644627,5.420756,835.91511,SweetPotato
55.0,30.0,79.0,25.060567,64.105076,5.238966,956.208955,SweetPotato
52.0,26.0,72.0,23.477578,68.652201,6.082877,987.381344,SweetPotato
47.0,30.0,60.0,22.481916,73.300313,5.502788,803.840498,SweetPotato
33.0,33.0,63.0,22.6073,64.189933,5.124959,709.589856,SweetPotato
51.0,32.0,65.0,22.856797,70.632253,6.039888,855.196657,SweetPotato
49.0,30.0,40.0,22.925556,61.995847,6.79748,718.674156,SweetPotato
50.0,33.0,60.0,24.455259,66.391794,5.897814,1041.60647,SweetPotato
36.0,33.0,55.0,23.103892,71.918692,6.201857,816.38424,SweetPotato
38.0,34.0,51.0,24.46528,60.442038,5.929459,756.161414,SweetPotato
57.0,31.0,59.0,22.838567,72.642848,5.8644,822.161637,SweetPotato
47.0,27.0,82.0,23.15727,69.882173,6.230868,638.344845,SweetPotato
54.0,28.0,70.0,19.003599,73.31494,5.795501,683.406315,SweetPotato
48.0,34.0,56.0,24.832655,71.343485,5.996261,944.049669,SweetPotato
48.0,23.0,69.0,23.692977,78.184843,6.015811,721.172687,SweetPotato
32.0,25.0,35.0,30.70126,56.407144,7.098477,445.985738,Sorghum
44.0,20.0,47.0,30.978374,44.636035,6.58309,488.438506,Sorghum
49.0,19.0,32.0,31.269443,40.749559,7.336562,436.606406,Sorghum
46.0,22.0,31.0,32.2194,35.917714,6.934821,475.363078,Sorghum
48.0,21.0,33.0,30.819637,34.181162,6.696349,348.510827,Sorghum
34.0,20.0,29.0,29.517485,35.495184,6.973858,517.063497,Sorghum
29.0,25.0,37.0,31.345147,46.60276,5.964562,500.096438,Sorghum
52.0,26.0,49.0,33.799764,48.05235,6.186616,434.63291,Sorghum
37.0,22.0,39.0,29.734733,35.512856,6.153037,552.739653,Sorghum
38.0,28.0,35.0,28.050941,50.37023,6.821472,575.005611,Sorghum
51.0,17.0,34.0,32.214161,42.101634,7.616257,371.395211,Sorghum
44.0,21.0,25.0,29.759238,45.880758,7.86565,438.982018,Sorghum
44.0,19.0,43.0,25.654661,54.673324,7.069026,438.468612,Sorghum
57.0,15.0,36.0,31.694843,50.381036,7.000422,424.807752,Sorghum
35.0,22.0,35.0,28.929344,43.388816,5.849471,566.357987,Sorghum
47.0,22.0,55.0,29.818933,39.652847,6.478663,484.493909,Sorghum
40.0,28.0,39.0,30.663961,32.089108,6.356108,478.838813,Sorghum
42.0,25.0,31.0,30.380999,40.68508,6.439576,339.691011,Sorghum
52.0,18.0,33.0,31.418904,43.733219,6.665928,550.833442,Sorghum
44.0,29.0,45.0,29.129027,39.076923,6.513955,400.859328,Sorghum
44.0,27.0,37.0,31.026212,44.212458,5.76035,504.79461,Sorghum
49.0,24.0,26.0,29.480907,45.461111,7.123955,522.190155,Sorghum
37.0,21.0,43.0,31.477621,43.650864,6.213628,608.852688,Sorghum
33.0,18.0,32.0,31.230735,41.099985,6.869623,395.294368,Sorghum
32.0,21.0,50.0,28.129123,46.011928,7.787041,300.0,Sorghum
24.0,26.0,44.0,32.171964,47.651644,6.290308,514.707964,Sorghum
56.0,30.0,33.0,28.928073,38.457606,5.5,644.040895,Sorghum
31.0,28.0,46.0,31.616116,53.465594,6.606998,599.115708,Sorghum
38.0,20.0,37.0,30.734575,44.408471,7.30048,516.772753,Sorghum
38.0,18.0,43.0,33.676367,45.113098,7.729174,460.669105,Sorghum
42.0,23.0,40.0,29.553068,49.249287,6.135225,564.569808,Sorghum
47.0,15.0,30.0,29.301366,46.399297,6.99835,422.116304,Sorghum
47.0,23.0,32.0,29.961161,50.71882,6.517345,538.108622,Sorghum
35.0,21.0,44.0,29.39364,46.722745,6.697026,540.437613,Sorghum
39.0,20.0,34.0,31.599884,41.325376,8.0,584.816793,Sorghum
42.0,16.0,34.0,26.767379,47.169021,5.998515,700.0,Sorghum
38.0,24.0,29.0,27.892635,38.137643,6.87687,531.393277,Sorghum
53.0,20.0,40.0,27.864394,45.651358,6.983847,459.28291,Sorghum
44.0,17.0,52.0,31.900615,44.80062,7.292893,497.954055,Sorghum
46.0,12.0,29.0,33.421227,43.751299,6.798992,358.473928,Sorghum
45.0,22.0,37.0,29.791102,44.228775,6.904025,444.42295,Sorghum
49.0,29.0,47.0,29.662357,33.708906,6.554176,467.257405,Sorghum
41.0,29.0,36.0,30.140104,41.707651,6.884563,458.072928,Sorghum
30.0,20.0,40.0,32.323757,45.557069,6.578404,512.18839,Sorghum
43.0,20.0,29.0,28.145294,45.959138,7.060786,434.206405,Sorghum
35.0,24.0,40.0,30.476738,38.833949,6.565195,589.682453,Sorghum
36.0,18.0,35.0,31.950395,52.594247,6.93855,500.016565,Sorghum
45.0,23.0,44.0,31.002188,39.802951,6.735369,499.255974,Sorghum
50.0,25.0,45.0,30.379163,50.816743,7.313025,473.768423,Sorghum
40.0,27.0,55.0,32.002092,47.563166,6.724303,512.415255,Sorghum
42.0,22.0,41.0,25.0,41.122636,5.863484,566.007861,Sorghum
54.0,21.0,39.0,31.355751,55.651865,7.380961,430.629583,Sorghum
42.0,18.0,38.0,28.691849,37.838179,6.297134,447.350681,Sorghum
60.0,19.0,34.0,26.338734,50.514925,6.423117,475.701918,Sorghum
45.0,21.0,39.0,31.022405,51.003494,6.452169,392.330326,Sorghum
26.0,23.0,34.0,32.747317,40.976279,7.437219,434.459371,Sorghum
46.0,26.0,38.0,29.725103,53.354792,5.682163,461.90233,Sorghum
43.0,19.0,46.0,31.905749,43.499721,8.0,569.951134,Sorghum
50.0,28.0,29.0,33.224557,46.732162,7.278028,521.004906,Sorghum
45.0,21.0,45.0,32.629829,46.561931,6.861619,515.487193,Sorghum
39.0,22.0,46.0,33.279929,44.194148,6.722553,568.071837,Sorghum
30.0,19.0,36.0,31.484255,49.86485,6.892777,489.010257,Sorghum
38.0,12.0,21.0,30.150867,49.760932,7.010561,531.237188,Sorghum
33.0,26.0,32.0,26.796068,34.508808,7.072608,491.74226,Sorghum
35.0,25.0,46.0,29.507875,52.826041,7.027802,521.228988,Sorghum
45.0,21.0,36.0,28.313507,35.025048,6.79479,453.379307,Sorghum
53.0,22.0,29.0,34.341885,51.195277,6.651331,304.894627,Sorghum
43.0,24.0,33.0,29.648228,51.760231,6.674363,489.257667,Sorghum
30.0,16.0,43.0,30.24641,38.454201,6.652546,613.819851,Sorghum
44.0,20.0,41.0,31.102971,42.535114,7.316885,574.097232,Sorghum
50.0,25.0,35.0,30.087205,38.365772,7.046778,577.231799,Sorghum
35.0,17.0,34.0,33.390102,43.710474,5.5,598.890458,Sorghum
39.0,23.0,34.0,28.754701,43.151794,7.07795,507.092607,Sorghum
40.0,17.0,30.0,30.389215,49.677963,6.847368,515.785257,Sorghum
34.0,24.0,48.0,28.515059,52.861852,6.740646,450.587848,Sorghum
45.0,22.0,34.0,27.359955,53.374103,6.555741,474.714172,Sorghum
39.0,16.0,46.0,28.776462,41.626992,7.312056,549.261692,Sorghum
43.0,27.0,48.0,29.925926,43.744669,7.223763,596.310755,Sorghum
33.0,19.0,44.0,29.141396,34.899371,6.363561,488.844298,Sorghum
37.0,19.0,33.0,28.615158,40.16478,6.953526,463.984859,Sorghum
46.0,23.0,39.0,27.187365,50.78911,6.264172,500.042237,Sorghum
37.0,27.0,36.0,29.833789,54.693497,6.060191,548.09654,Sorghum
54.0,18.0,30.0,26.990559,37.593907,6.436641,384.491615,Sorghum
37.0,22.0,39.0,31.520112,41.445214,7.181197,316.305524,Sorghum
42.0,24.0,28.0,30.16488,44.841565,7.226563,455.957052,Sorghum
47.0,25.0,45.0,27.084897,46.680967,7.006543,402.343006,Sorghum
29.0,23.0,33.0,29.381582,40.142379,7.112548,459.348784,Sorghum
26.0,21.0,38.0,28.495687,47.544366,7.008089,488.177574,Sorghum
28.0,19.0,39.0,30.638349,42.156964,6.429259,463.740127,Sorghum
50.0,22.0,35.0,32.680901,44.913286,6.965961,616.197403,Sorghum
36.0,18.0,41.0,26.249655,48.277705,7.150205,526.139581,Sorghum
60.0,12.0,33.0,30.230052,45.038534,7.127146,524.037949,Sorghum
35.0,24.0,43.0,29.679734,42.381685,7.344457,549.776572,Sorghum
41.0,26.0,27.0,31.34268,44.342341,7.104152,408.893351,Sorghum
52.0,13.0,37.0,30.426393,44.469822,6.925724,583.128943,Sorghum
56.0,18.0,51.0,28.496061,42.779934,7.285075,493.938857,Sorghum
56.0,24.0,29.0,29.361892,43.447224,6.736739,553.638449,Sorghum
50.0,30.0,31.0,28.407948,54.591883,6.309063,414.251421,Sorghum
48.0,22.0,40.0,32.152014,48.365517,6.668467,375.699299,Sorghum
45.0,19.0,38.0,30.042623,43.227118,6.377549,565.431173,Sorghum
27.0,22.0,31.0,28.26783,43.423678,5.311724,402.076596,Millet
20.0,15.0,19.0,30.42437,45.809108,6.559856,451.36863,Millet
20.0,18.0,23.0,28.687968,38.01215,5.932319,515.858931,Millet
32.0,11.0,27.0,29.348028,36.32658,5.655167,446.659668,Millet
18.0,12.0,37.0,34.016285,33.489097,5.937827,392.451602,Millet
35.0,17.0,40.0,33.217107,35.047537,6.157737,448.156193,Millet
20.0,21.0,29.0,26.881005,55.0,5.947628,385.142148,Millet
29.0,17.0,24.0,31.991358,47.468077,5.147217,376.673213,Millet
23.0,14.0,28.0,31.947352,31.893554,6.698533,350.401004,Millet
29.0,15.0,30.0,27.244168,32.065252,6.887438,484.438935,Millet
22.0,11.0,23.0,31.965066,42.891196,6.575761,317.709993,Millet
24.0,18.0,36.0,33.691037,43.283589,5.681157,482.265741,Millet
25.0,19.0,26.0,27.305892,43.293303,6.149254,409.990489,Millet
19.0,14.0,28.0,27.797993,38.470265,6.246739,277.048568,Millet
29.0,14.0,29.0,32.442388,39.247274,6.549397,400.735451,Millet
22.0,17.0,28.0,30.651589,41.967277,6.58417,227.998144,Millet
24.0,14.0,30.0,31.323543,40.515358,5.882913,418.785561,Millet
19.0,15.0,21.0,30.817414,26.684198,6.290998,436.966204,Millet
10.0,23.0,22.0,30.93767,38.621202,6.47864,333.535083,Millet
24.0,15.0,18.0,26.816467,34.891561,6.977911,383.648339,Millet
39.0,14.0,28.0,32.513562,41.051269,6.602253,511.79102,Millet
30.0,13.0,30.0,32.807016,55.0,6.644528,339.597731,Millet
25.0,18.0,28.0,29.449462,42.20489,6.291913,300.876469,Millet
23.0,15.0,35.0,29.895655,38.118822,6.95523,478.716438,Millet
25.0,13.0,25.0,26.325342,45.530809,6.454881,512.381103,Millet
28.0,21.0,29.0,31.234211,42.896127,5.819456,375.258697,Millet
18.0,21.0,18.0,31.372938,42.520567,6.951685,445.802412,Millet
32.0,13.0,23.0,29.850742,43.641104,6.598952,468.903314,Millet
29.0,8.0,29.0,32.698448,52.339261,6.028478,323.026104,Millet
29.0,19.0,30.0,29.198215,33.214669,6.010254,341.028592,Millet
28.0,13.0,23.0,31.355054,42.841792,6.398288,461.161216,Millet
25.0,19.0,25.0,27.552806,34.441713,6.481592,492.951,Millet
29.0,8.0,16.0,29.943475,43.333076,6.348646,414.40166,Millet
29.0,19.0,23.0,29.58155,34.487881,6.405654,313.412995,Millet
23.0,11.0,30.0,30.540739,37.495799,7.099979,514.094278,Millet
22.0,18.0,28.0,29.113135,38.229461,6.785772,337.832037,Millet
26.0,16.0,28.0,29.684466,45.8549,6.345318,351.540355,Millet
34.0,12.0,25.0,31.982513,45.510727,6.720655,398.963648,Millet
18.0,14.0,25.0,28.951766,32.525696,5.733738,483.791229,Millet
16.0,18.0,21.0,26.144215,40.329605,6.448964,434.778318,Millet
26.0,16.0,29.0,34.199001,35.742521,7.154653,404.040585,Millet
25.0,18.0,28.0,33.31549,32.448971,6.140977,407.430197,Millet
26.0,23.0,28.0,26.89857,38.697898,5.826183,378.046027,Millet
26.0,10.0,22.0,31.655299,38.149103,5.923956,414.069766,Millet
24.0,22.0,12.0,28.792861,54.560299,5.705183,200.0,Millet
34.0,16.0,32.0,30.632369,42.597759,5.857619,354.237478,Millet
15.0,12.0,22.0,30.706138,31.734295,6.064746,391.892535,Millet
20.0,10.0,20.0,29.437421,36.611356,5.547216,294.429014,Millet
24.0,15.0,29.0,28.118962,46.1283,6.257809,402.042632,Millet
15.0,19.0,23.0,28.342701,52.530657,6.701139,360.687015,Millet
24.0,15.0,31.0,27.801139,30.4841,5.796122,497.883299,Millet
35.0,21.0,29.0,28.003627,28.720454,7.009642,485.111381,Millet
25.0,10.0,29.0,29.838772,51.225791,6.505396,342.39361,Millet
26.0,15.0,17.0,28.282176,42.337685,6.76529,364.44136,Millet
17.0,11.0,32.0,31.636925,34.790244,5.921083,369.82367,Millet
21.0,17.0,27.0,33.569391,43.207775,6.677263,343.383837,Millet
23.0,19.0,23.0,28.607872,25.0,5.704033,388.651749,Millet
23.0,14.0,26.0,30.574571,40.020253,6.695124,321.920255,Millet
33.0,6.0,14.0,31.199244,41.966927,6.33592,295.856927,Millet
28.0,16.0,27.0,31.132805,45.545621,6.526626,418.589786,Millet
18.0,17.0,19.0,30.182293,33.916624,5.662203,419.067071,Millet
26.0,17.0,17.0,31.782438,40.514123,5.802465,318.697897,Millet
28.0,20.0,16.0,31.157397,34.447452,6.548614,437.67488,Millet
32.0,11.0,32.0,27.02961,41.532303,5.775826,330.789559,Millet
34.0,18.0,21.0,32.085975,34.627922,6.481603,392.721567,Millet
19.0,20.0,34.0,32.129498,37.551395,5.566431,432.424081,Millet
20.0,9.0,22.0,28.168113,34.025108,6.674087,372.64712,Millet
17.0,17.0,15.0,30.091051,43.906817,5.633738,406.831864,Millet
